#(i,j)	E             Er            mu_elen       vth_elen      v_elen        n_elen        epsilon       phi_e             v*n_e             mu_e             vth_e             v_e             n_e             sec.em.flux_e             EnergySrc_e             PartSrc_e             phi_He+           v*n_He+           mu_He+           vth_He+           v_He+           n_He+           sec.em.flux_He+           EnergySrc_He+           PartSrc_He+           phi_Cu            v*n_Cu            mu_Cu            vth_Cu            v_Cu            n_Cu            sec.em.flux_Cu            EnergySrc_Cu            PartSrc_Cu            phi_Cu+           v*n_Cu+           mu_Cu+           vth_Cu+           v_Cu+           n_Cu+           sec.em.flux_Cu+           EnergySrc_Cu+           PartSrc_Cu+           
(1,33)	5.734E+005    239.1         -24           2.844E+006    1.519E+007    3.155E-005    2.442E-018    -1.108E+020   1.205E+020    -14.4         2.133E+006    9.325E+006    1.292E+013    0             293.1         2.313E+020    5.446E+020    5.446E+020    0.02642       1.23E+004     2.13E+004     2.557E+016    1.089E+020    0             0             7.381E+018    7.381E+018    0             577.2         8.926         8.269E+017    0             0             9.649E+018    2.429E+018    2.429E+018    0.06425       6703          4.019E+004    6.044E+013    2.429E+017    0             0             
(2,33)	5.74E+005     239.4         -24           2.845E+006    1.52E+007     3.161E-005    2.443E-018    -1.111E+020   1.208E+020    -14.4         2.134E+006    9.334E+006    1.294E+013    0             293.9         2.319E+020    5.46E+020     5.46E+020     0.02641       1.231E+004    2.131E+004    2.562E+016    1.092E+020    0             0             7.401E+018    7.401E+018    0             577.2         8.926         8.291E+017    0             0             9.679E+018    2.438E+018    2.438E+018    0.0642        6705          4.02E+004     6.065E+013    2.438E+017    0             0             
(3,33)	5.757E+005    240           -24.01        2.847E+006    1.525E+007    3.179E-005    2.447E-018    -1.119E+020   1.216E+020    -14.41        2.135E+006    9.362E+006    1.299E+013    0             296.1         2.336E+020    5.501E+020    5.501E+020    0.02637       1.233E+004    2.135E+004    2.576E+016    1.1E+020      0             0             7.459E+018    7.459E+018    0             577.2         8.926         8.357E+017    0             0             9.768E+018    2.466E+018    2.466E+018    0.06405       6710          4.023E+004    6.13E+013     2.466E+017    0             0             
(4,33)	5.785E+005    241.1         -24.02        2.85E+006     1.532E+007    3.209E-005    2.452E-018    -1.133E+020   1.231E+020    -14.41        2.138E+006    9.407E+006    1.309E+013    0             299.6         2.364E+020    5.569E+020    5.569E+020    0.02632       1.237E+004    2.141E+004    2.601E+016    1.114E+020    0             0             7.555E+018    7.555E+018    0             577.2         8.926         8.465E+017    0             0             9.915E+018    2.512E+018    2.512E+018    0.06382       6717          4.028E+004    6.238E+013    2.512E+017    0             0             
(5,33)	5.822E+005    242.6         -24.04        2.855E+006    1.542E+007    3.25E-005     2.46E-018     -1.152E+020   1.251E+020    -14.42        2.141E+006    9.468E+006    1.321E+013    0             304.5         2.402E+020    5.66E+020     5.66E+020     0.02625       1.241E+004    2.149E+004    2.633E+016    1.132E+020    0             0             7.688E+018    7.688E+018    0             577.2         8.926         8.613E+017    0             0             1.012E+019    2.577E+018    2.577E+018    0.0635        6727          4.034E+004    6.388E+013    2.577E+017    0             0             
(6,33)	5.868E+005    244.4         -24.06        2.86E+006     1.555E+007    3.3E-005      2.47E-018     -1.175E+020   1.275E+020    -14.43        2.145E+006    9.543E+006    1.336E+013    0             310.5         2.45E+020     5.774E+020    5.774E+020    0.02617       1.247E+004    2.159E+004    2.674E+016    1.155E+020    0             0             7.856E+018    7.856E+018    0             577.2         8.926         8.801E+017    0             0             1.037E+019    2.658E+018    2.658E+018    0.06311       6739          4.041E+004    6.579E+013    2.658E+017    0             0             
(7,33)	5.923E+005    246.5         -24.08        2.867E+006    1.569E+007    3.359E-005    2.481E-018    -1.202E+020   1.304E+020    -14.45        2.15E+006     9.631E+006    1.354E+013    0             317.7         2.506E+020    5.909E+020    5.909E+020    0.02607       1.253E+004    2.171E+004    2.722E+016    1.182E+020    0             0             8.057E+018    8.057E+018    0             577.2         8.926         9.027E+017    0             0             1.068E+019    2.758E+018    2.758E+018    0.06265       6751          4.048E+004    6.812E+013    2.758E+017    0             0             
(8,33)	5.985E+005    249           -24.1         2.874E+006    1.586E+007    3.429E-005    2.494E-018    -1.234E+020   1.338E+020    -14.46        2.156E+006    9.733E+006    1.375E+013    0             326.1         2.572E+020    6.067E+020    6.067E+020    0.02596       1.261E+004    2.184E+004    2.778E+016    1.213E+020    0             0             8.292E+018    8.292E+018    0             577.2         8.926         9.29E+017     0             0             1.104E+019    2.875E+018    2.875E+018    0.06213       6765          4.056E+004    7.087E+013    2.875E+017    0             0             
(9,33)	6.053E+005    251.7         -24.13        2.883E+006    1.605E+007    3.506E-005    2.508E-018    -1.269E+020   1.376E+020    -14.48        2.162E+006    9.844E+006    1.398E+013    0             335.4         2.646E+020    6.243E+020    6.243E+020    0.02583       1.269E+004    2.198E+004    2.841E+016    1.249E+020    0             0             8.556E+018    8.556E+018    0             577.2         8.926         9.586E+017    0             0             1.145E+019    3.008E+018    3.008E+018    0.06155       6778          4.065E+004    7.399E+013    3.008E+017    0             0             
(10,33)	6.125E+005    254.5         -24.16        2.891E+006    1.624E+007    3.587E-005    2.523E-018    -1.308E+020   1.417E+020    -14.49        2.168E+006    9.962E+006    1.422E+013    0             345.5         2.724E+020    6.432E+020    6.432E+020    0.0257        1.277E+004    2.212E+004    2.907E+016    1.286E+020    0             0             8.845E+018    8.845E+018    0             577.2         8.926         9.91E+017     0             0             1.189E+019    3.155E+018    3.155E+018    0.06094       6791          4.072E+004    7.748E+013    3.155E+017    0             0             
