#(i,j)	E             Er            mu_elen       vth_elen      v_elen        n_elen        epsilon       phi_e             v*n_e             mu_e             vth_e             v_e             n_e             sec.em.flux_e             EnergySrc_e             PartSrc_e             phi_He+           v*n_He+           mu_He+           vth_He+           v_He+           n_He+           sec.em.flux_He+           EnergySrc_He+           PartSrc_He+           phi_Cu            v*n_Cu            mu_Cu            vth_Cu            v_Cu            n_Cu            sec.em.flux_Cu            EnergySrc_Cu            PartSrc_Cu            phi_Cu+           v*n_Cu+           mu_Cu+           vth_Cu+           v_Cu+           n_Cu+           sec.em.flux_Cu+           EnergySrc_Cu+           PartSrc_Cu+           
(1,33)	1026          0.4379        -23.09        1.237E+006    6.421E+005    2.167E-008    4.617E-019    9.175E+015    2.233E+016    -13.86        9.276E+005    4.78E+005     4.67E+010     0             0.01441       1.315E+016    9.007E+015    9.007E+015    0.1662        2304          1322          6.81E+012     1.801E+015    0             0             5.458E+013    5.458E+013    0             577.2         8.926         6.115E+012    0             0             9.019E+013    3.283E+007    3.283E+007    0.3472        580.8         646.6         5.077E+004    3.283E+006    0             0             
(2,33)	1026          0.4379        -23.09        1.237E+006    6.421E+005    2.168E-008    4.618E-019    9.174E+015    2.232E+016    -13.86        9.277E+005    4.78E+005     4.67E+010     0             0.01441       1.315E+016    9.007E+015    9.007E+015    0.1662        2304          1322          6.81E+012     1.801E+015    0             0             5.458E+013    5.458E+013    0             577.2         8.926         6.115E+012    0             0             9.019E+013    3.283E+007    3.283E+007    0.3472        580.8         646.6         5.077E+004    3.283E+006    0             0             
(3,33)	1026          0.438         -23.09        1.237E+006    6.422E+005    2.168E-008    4.619E-019    9.17E+015     2.232E+016    -13.86        9.278E+005    4.781E+005    4.669E+010    0             0.01441       1.315E+016    9.007E+015    9.007E+015    0.1662        2304          1323          6.811E+012    1.801E+015    0             0             5.458E+013    5.458E+013    0             577.2         8.926         6.115E+012    0             0             9.02E+013     3.283E+007    3.283E+007    0.3472        580.8         646.6         5.077E+004    3.283E+006    0             0             
(4,33)	1026          0.438         -23.09        1.237E+006    6.423E+005    2.168E-008    4.62E-019     9.164E+015    2.232E+016    -13.85        9.279E+005    4.782E+005    4.668E+010    0             0.01442       1.316E+016    9.008E+015    9.008E+015    0.1662        2304          1323          6.811E+012    1.802E+015    0             0             5.458E+013    5.458E+013    0             577.2         8.926         6.115E+012    0             0             9.02E+013     3.283E+007    3.283E+007    0.3472        580.8         646.6         5.077E+004    3.283E+006    0             0             
(5,33)	1026          0.4381        -23.09        1.238E+006    6.425E+005    2.168E-008    4.623E-019    9.155E+015    2.232E+016    -13.85        9.282E+005    4.783E+005    4.666E+010    0             0.01442       1.316E+016    9.009E+015    9.009E+015    0.1662        2304          1323          6.811E+012    1.802E+015    0             0             5.458E+013    5.458E+013    0             577.2         8.926         6.115E+012    0             0             9.021E+013    3.284E+007    3.284E+007    0.3472        580.8         646.7         5.078E+004    3.284E+006    0             0             
(6,33)	1027          0.4383        -23.09        1.238E+006    6.427E+005    2.168E-008    4.626E-019    9.142E+015    2.231E+016    -13.85        9.285E+005    4.785E+005    4.663E+010    0             0.01443       1.317E+016    9.01E+015     9.01E+015     0.1662        2304          1323          6.812E+012    1.802E+015    0             0             5.459E+013    5.459E+013    0             577.2         8.926         6.116E+012    0             0             9.023E+013    3.285E+007    3.285E+007    0.3472        580.8         646.8         5.078E+004    3.285E+006    0             0             
(7,33)	1027          0.4384        -23.08        1.239E+006    6.43E+005     2.169E-008    4.63E-019     9.126E+015    2.231E+016    -13.85        9.289E+005    4.787E+005    4.66E+010     0             0.01444       1.318E+016    9.012E+015    9.012E+015    0.1662        2304          1323          6.813E+012    1.802E+015    0             0             5.459E+013    5.459E+013    0             577.2         8.926         6.116E+012    0             0             9.024E+013    3.286E+007    3.286E+007    0.3472        580.8         647           5.078E+004    3.286E+006    0             0             
(8,33)	1028          0.4387        -23.08        1.239E+006    6.434E+005    2.169E-008    4.636E-019    9.104E+015    2.23E+016     -13.85        9.295E+005    4.79E+005     4.655E+010    0             0.01445       1.319E+016    9.014E+015    9.014E+015    0.1662        2304          1323          6.814E+012    1.803E+015    0             0             5.46E+013     5.46E+013     0             577.2         8.926         6.117E+012    0             0             9.026E+013    3.287E+007    3.287E+007    0.3472        580.8         647.2         5.079E+004    3.287E+006    0             0             
(9,33)	1028          0.439         -23.07        1.24E+006     6.439E+005    2.17E-008     4.643E-019    9.077E+015    2.229E+016    -13.84        9.302E+005    4.793E+005    4.65E+010     0             0.01447       1.321E+016    9.017E+015    9.017E+015    0.1662        2304          1323          6.816E+012    1.803E+015    0             0             5.461E+013    5.461E+013    0             577.2         8.926         6.118E+012    0             0             9.029E+013    3.288E+007    3.288E+007    0.3472        580.8         647.4         5.08E+004     3.288E+006    0             0             
(10,33)	1029          0.4393        -23.06        1.242E+006    6.445E+005    2.171E-008    4.653E-019    9.044E+015    2.228E+016    -13.84        9.312E+005    4.798E+005    4.643E+010    0             0.01449       1.323E+016    9.02E+015     9.02E+015     0.1662        2304          1323          6.818E+012    1.804E+015    0             0             5.462E+013    5.462E+013    0             577.2         8.926         6.119E+012    0             0             9.033E+013    3.291E+007    3.291E+007    0.3472        580.8         647.7         5.08E+004     3.291E+006    0             0             
(11,33)	1030          0.4398        -23.05        1.243E+006    6.453E+005    2.173E-008    4.664E-019    9.002E+015    2.226E+016    -13.83        9.323E+005    4.804E+005    4.634E+010    0             0.01452       1.326E+016    9.025E+015    9.025E+015    0.1662        2304          1323          6.821E+012    1.805E+015    0             0             5.463E+013    5.463E+013    0             577.2         8.926         6.121E+012    0             0             9.037E+013    3.293E+007    3.293E+007    0.3472        580.8         648.1         5.082E+004    3.293E+006    0             0             
(12,33)	1031          0.4404        -23.03        1.245E+006    6.462E+005    2.174E-008    4.678E-019    8.951E+015    2.224E+016    -13.82        9.337E+005    4.811E+005    4.623E+010    0             0.01456       1.329E+016    9.031E+015    9.031E+015    0.1662        2304          1323          6.824E+012    1.806E+015    0             0             5.465E+013    5.465E+013    0             577.2         8.926         6.122E+012    0             0             9.043E+013    3.297E+007    3.297E+007    0.3472        580.8         648.5         5.083E+004    3.297E+006    0             0             
(13,33)	1033          0.4411        -23.02        1.247E+006    6.474E+005    2.176E-008    4.696E-019    8.888E+015    2.222E+016    -13.81        9.355E+005    4.82E+005     4.611E+010    0             0.0146        1.334E+016    9.038E+015    9.038E+015    0.1662        2304          1324          6.828E+012    1.808E+015    0             0             5.467E+013    5.467E+013    0             577.2         8.926         6.125E+012    0             0             9.05E+013     3.301E+007    3.301E+007    0.3472        580.9         649.1         5.085E+004    3.301E+006    0             0             
(14,33)	1035          0.442         -23           1.25E+006     6.489E+005    2.179E-008    4.717E-019    8.811E+015    2.22E+016     -13.8         9.376E+005    4.831E+005    4.595E+010    0             0.01466       1.339E+016    9.048E+015    9.048E+015    0.1661        2304          1324          6.833E+012    1.81E+015     0             0             5.47E+013     5.47E+013     0             577.2         8.926         6.128E+012    0             0             9.06E+013     3.306E+007    3.306E+007    0.3472        580.9         649.8         5.088E+004    3.306E+006    0             0             
(15,33)	1038          0.4431        -22.97        1.254E+006    6.506E+005    2.182E-008    4.743E-019    8.72E+015     2.217E+016    -13.78        9.401E+005    4.844E+005    4.577E+010    0             0.01472       1.345E+016    9.059E+015    9.059E+015    0.1661        2304          1324          6.84E+012     1.812E+015    0             0             5.474E+013    5.474E+013    0             577.2         8.926         6.132E+012    0             0             9.071E+013    3.312E+007    3.312E+007    0.3472        580.9         650.7         5.091E+004    3.312E+006    0             0             
(16,33)	1041          0.4444        -22.94        1.258E+006    6.527E+005    2.187E-008    4.774E-019    8.612E+015    2.214E+016    -13.76        9.432E+005    4.859E+005    4.556E+010    0             0.0148        1.353E+016    9.073E+015    9.073E+015    0.1661        2304          1325          6.848E+012    1.815E+015    0             0             5.478E+013    5.478E+013    0             577.2         8.926         6.137E+012    0             0             9.085E+013    3.321E+007    3.321E+007    0.3472        580.9         651.8         5.095E+004    3.321E+006    0             0             
(17,33)	1044          0.4461        -22.9         1.263E+006    6.552E+005    2.192E-008    4.811E-019    8.485E+015    2.211E+016    -13.74        9.469E+005    4.878E+005    4.532E+010    0             0.0149        1.362E+016    9.091E+015    9.091E+015    0.1661        2304          1326          6.858E+012    1.818E+015    0             0             5.484E+013    5.484E+013    0             577.2         8.926         6.144E+012    0             0             9.102E+013    3.331E+007    3.331E+007    0.3472        580.9         653.1         5.1E+004      3.331E+006    0             0             
(18,33)	1049          0.4481        -22.86        1.268E+006    6.581E+005    2.199E-008    4.855E-019    8.338E+015    2.208E+016    -13.72        9.512E+005    4.9E+005      4.505E+010    0             0.01502       1.374E+016    9.113E+015    9.113E+015    0.1661        2304          1326          6.871E+012    1.823E+015    0             0             5.491E+013    5.491E+013    0             577.2         8.926         6.152E+012    0             0             9.124E+013    3.343E+007    3.343E+007    0.3472        581           654.7         5.106E+004    3.343E+006    0             0             
(19,33)	1055          0.4505        -22.81        1.275E+006    6.615E+005    2.207E-008    4.906E-019    8.173E+015    2.204E+016    -13.69        9.562E+005    4.925E+005    4.475E+010    0             0.01515       1.386E+016    9.14E+015     9.14E+015     0.1661        2304          1327          6.886E+012    1.828E+015    0             0             5.5E+013      5.5E+013      0             577.2         8.926         6.162E+012    0             0             9.15E+013     3.358E+007    3.358E+007    0.3472        581           656.6         5.114E+004    3.358E+006    0             0             
(20,33)	1061          0.4534        -22.75        1.282E+006    6.653E+005    2.216E-008    4.962E-019    7.993E+015    2.201E+016    -13.65        9.617E+005    4.953E+005    4.443E+010    0             0.01531       1.401E+016    9.172E+015    9.172E+015    0.166         2304          1328          6.905E+012    1.834E+015    0             0             5.512E+013    5.512E+013    0             577.2         8.926         6.175E+012    0             0             9.183E+013    3.376E+007    3.376E+007    0.3472        581.1         658.9         5.124E+004    3.376E+006    0             0             
(21,33)	1069          0.457         -22.69        1.29E+006     6.694E+005    2.227E-008    5.025E-019    7.797E+015    2.198E+016    -13.61        9.678E+005    4.984E+005    4.41E+010     0             0.01549       1.418E+016    9.212E+015    9.212E+015    0.166         2304          1330          6.929E+012    1.842E+015    0             0             5.526E+013    5.526E+013    0             577.2         8.926         6.191E+012    0             0             9.222E+013    3.399E+007    3.399E+007    0.3472        581.1         661.7         5.137E+004    3.399E+006    0             0             
(22,33)	1079          0.4612        -22.62        1.299E+006    6.74E+005     2.241E-008    5.094E-019    7.59E+015     2.197E+016    -13.57        9.744E+005    5.018E+005    4.378E+010    0             0.01569       1.438E+016    9.261E+015    9.261E+015    0.1659        2304          1331          6.957E+012    1.852E+015    0             0             5.544E+013    5.544E+013    0             577.2         8.926         6.211E+012    0             0             9.271E+013    3.427E+007    3.427E+007    0.3472        581.2         665.1         5.152E+004    3.427E+006    0             0             
(23,33)	1090          0.4662        -22.55        1.309E+006    6.79E+005     2.258E-008    5.17E-019     7.369E+015    2.197E+016    -13.53        9.816E+005    5.055E+005    4.347E+010    0             0.01593       1.46E+016     9.32E+015     9.32E+015     0.1659        2305          1333          6.991E+012    1.864E+015    0             0             5.566E+013    5.566E+013    0             577.2         8.926         6.236E+012    0             0             9.33E+013     3.461E+007    3.461E+007    0.3472        581.3         669.2         5.172E+004    3.461E+006    0             0             
(24,33)	1104          0.4723        -22.47        1.319E+006    6.844E+005    2.278E-008    5.252E-019    7.139E+015    2.2E+016      -13.48        9.893E+005    5.096E+005    4.318E+010    0             0.0162        1.486E+016    9.393E+015    9.393E+015    0.1658        2305          1335          7.034E+012    1.879E+015    0             0             5.594E+013    5.594E+013    0             577.2         8.926         6.267E+012    0             0             9.401E+013    3.502E+007    3.502E+007    0.3472        581.4         674           5.196E+004    3.502E+006    0             0             
(25,33)	1121          0.4796        -22.39        1.33E+006     6.901E+005    2.301E-008    5.338E-019    6.909E+015    2.205E+016    -13.44        9.974E+005    5.138E+005    4.292E+010    0             0.0165        1.514E+016    9.481E+015    9.481E+015    0.1657        2305          1338          7.085E+012    1.896E+015    0             0             5.628E+013    5.628E+013    0             577.2         8.926         6.305E+012    0             0             9.489E+013    3.553E+007    3.553E+007    0.3472        581.5         679.8         5.226E+004    3.553E+006    0             0             
(26,33)	1141          0.4885        -22.33        1.341E+006    6.959E+005    2.328E-008    5.427E-019    6.686E+015    2.214E+016    -13.4         1.006E+006    5.181E+005    4.272E+010    0             0.01682       1.545E+016    9.589E+015    9.589E+015    0.1656        2305          1341          7.148E+012    1.918E+015    0             0             5.671E+013    5.671E+013    0             577.2         8.926         6.354E+012    0             0             9.596E+013    3.616E+007    3.616E+007    0.3472        581.7         686.9         5.265E+004    3.616E+006    0             0             
