Species                         e                 He+               He2+              He*               e*                He                
total_production                1.3203E+006       1.23767E+008      3.8374E+008       6.95976E+006      4.08146E+008      1.22447E+008      
total_destruction               -12.9667          -9.80371E+007     -2646.29          -8.16293E+008     0                 -1.06317E+008     
Rr/Dr                           101822            1.26245           145011            0.00852606        X                 1.15171           

e + He <=> e + He*              X                 X                 X                 1                 X                 -0.0654624        
e + He* <=> e + e + He+         0.000199486       2.12804E-006      X                 -3.22654E-007     X                 X                 
e + He <=> e + e + He+          0.999801          0.0106655         X                 X                 X                 -0.012416         
He+ + He + He <=> He2+ + He     X                 -1                0.255478          X                 X                 -0.922122         
He* + He* <=> He+ + He + e*     X                 0.989311          X                 -0.3              0.3               0.999978          
He* + He* <=> He2+ + e*         X                 X                 0.744522          -0.7              0.7               X                 
He* + e <=> He + e*             -1                X                 X                 -1.58849E-008     3.17698E-008      1.05897E-007      
He2+ + He <=> He+ + He + He     X                 2.13812E-005      -1                X                 X                 2.16118E-005      

