#(i,j)	E             Er            mu_elen       vth_elen      v_elen        n_elen        epsilon       phi_e             v*n_e             mu_e             vth_e             v_e             n_e             sec.em.flux_e             EnergySrc_e             PartSrc_e             phi_He+           v*n_He+           mu_He+           vth_He+           v_He+           n_He+           sec.em.flux_He+           EnergySrc_He+           PartSrc_He+           phi_He2+          v*n_He2+          mu_He2+          vth_He2+          v_He2+          n_He2+          sec.em.flux_He2+          EnergySrc_He2+          PartSrc_He2+          phi_He*           v*n_He*           mu_He*           vth_He*           v_He*           n_He*           sec.em.flux_He*           EnergySrc_He*           PartSrc_He*           phi_e*            v*n_e*            mu_e*            vth_e*            v_e*            n_e*            sec.em.flux_e*            EnergySrc_e*            PartSrc_e*            
(16,26)	1.327E+006    49.9          -0.5436       1.833E+006    1.638E+006    0.0002321     1.014E-018    -8.247E+019   2.571E+020    -0.3262       1.375E+006    1.12E+006     2.295E+014    0             398           3.396E+020    4.959E+020    4.959E+020    0.002517      2950          4816          1.03E+017     9.918E+019    0             0             4.809E+018    4.809E+018    0.004478      3343          7615          6.315E+014    9.618E+017    0             0             9.926E+018    9.926E+018    0             1263          631.6         1.572E+016    0             0             0             1.193E+018    1.193E+018    -0.3417       2.3E+006      1.604E+006    7.437E+011    1.193E+017    0             0             
(54,26)	-3.888E+005   40.07         -0.7252       3.338E+006    1.951E+006    0.001043      3.363E-018    4.356E+020    4.401E+020    -0.4351       2.503E+006    1.421E+006    3.097E+014    0             5.719         4.472E+018    1.146E+019    1.146E+019    0.003601      1686          2243          5.109E+015    2.292E+018    0             0             6.751E+016    6.751E+016    0.007712      1855          3925          1.72E+013     1.35E+016     0             0             2.54E+019     2.54E+019     0             1263          631.6         4.021E+016    0             0             0             6.155E+016    6.155E+016    -0.3417       2.3E+006      1.283E+006    4.798E+010    6.155E+015    0             0             
(16,27)	9.445E+005    35.51         -0.5419       1.778E+006    1.401E+006    0.0004619     9.539E-019    -9.734E+019   4.722E+020    -0.3251       1.333E+006    9.737E+005    4.85E+014     0             656           5.696E+020    6.997E+020    6.997E+020    0.002835      2482          3919          1.785E+017    1.399E+020    0             0             1.979E+019    1.979E+019    0.005292      2853          6425          3.08E+015     3.958E+018    0             0             1.338E+019    1.338E+019    0             1263          631.6         2.119E+016    0             0             0             3.649E+018    3.649E+018    -0.3417       2.3E+006      1.473E+006    2.478E+012    3.649E+017    0             0             
(54,27)	-3.007E+004   42.99         -0.7248       3.335E+006    1.689E+006    0.001201      3.356E-018    4.448E+020    4.512E+020    -0.4349       2.501E+006    1.264E+006    3.571E+014    0             8.18          6.403E+018    1.717E+019    1.717E+019    0.004299      1268          763.1         2.25E+016     3.434E+018    0             0             3.794E+017    3.794E+017    0.007011      900.6         661.1         5.739E+014    7.589E+016    0             0             3.997E+019    3.997E+019    0             1263          631.6         6.328E+016    0             0             0             1.244E+017    1.244E+017    -0.3417       2.3E+006      1.16E+006     1.072E+011    1.244E+016    0             0             
(16,28)	6.062E+005    22.79         -0.5421       1.764E+006    1.21E+006     0.0006986     9.389E-019    1.591E+017    6.376E+020    -0.3253       1.323E+006    8.586E+005    7.426E+014    0             716.7         6.375E+020    5.891E+020    5.891E+020    0.003238      2012          2969          1.984E+017    1.178E+020    0             0             4.448E+019    4.448E+019    0.006596      2344          5170          8.603E+015    8.896E+018    0             0             1.272E+019    1.272E+019    0             1263          631.6         2.014E+016    0             0             0             8.052E+018    8.052E+018    -0.3417       2.3E+006      1.357E+006    5.933E+012    8.052E+017    0             0             
(54,28)	1.782E+005    47.88         -0.5999       2.452E+006    1.333E+006    0.001549      1.815E-018    1.55E+020     8.393E+020    -0.36         1.839E+006    9.837E+005    8.531E+014    0             732.1         6.843E+020    2.964E+020    2.964E+020    0.004041      1388          1414          2.097E+017    5.929E+019    0             0             8.405E+018    8.405E+018    0.007763      1166          1966          4.275E+015    1.681E+018    0             0             5.009E+019    5.009E+019    0             1263          631.6         7.93E+016     0             0             0             2.18E+017     2.18E+017     -0.3417       2.3E+006      1.211E+006    1.801E+011    2.18E+016     0             0             
(16,29)	4.145E+005    15.58         -0.5424       1.795E+006    1.122E+006    0.0009392     9.721E-019    1.652E+020    7.772E+020    -0.3254       1.346E+006    8.079E+005    9.62E+014     0             674.2         6.12E+020     4.217E+020    4.217E+020    0.003555      1726          2337          1.804E+017    8.433E+019    0             0             5.656E+019    5.656E+019    0.007619      1931          4124          1.371E+016    1.131E+019    0             0             1.05E+019     1.05E+019     0             1263          631.6         1.662E+016    0             0             0             1.301E+019    1.301E+019    -0.3417       2.3E+006      1.292E+006    1.007E+013    1.301E+018    0             0             
(54,29)	2.224E+005    48.1          -0.5915       2.39E+006     1.326E+006    0.001703      1.723E-018    1.774E+020    9.618E+020    -0.3549       1.792E+006    9.75E+005     9.864E+014    0             843.9         7.844E+020    3.843E+020    3.843E+020    0.003953      1445          1602          2.399E+017    7.685E+019    0             0             1.143E+019    1.143E+019    0.007953      1311          2424          4.714E+015    2.286E+018    0             0             5.894E+019    5.894E+019    0             1263          631.6         9.331E+016    0             0             0             3.83E+017     3.83E+017     -0.3417       2.3E+006      1.226E+006    3.124E+011    3.83E+016     0             0             
(16,30)	3.399E+005    12.78         -0.5432       1.822E+006    1.095E+006    0.001085      1.001E-018    2.968E+020    8.574E+020    -0.3259       1.366E+006    7.939E+005    1.08E+015     0             611.1         5.606E+020    3.25E+020     3.25E+020     0.003703      1614          2066          1.573E+017    6.499E+019    0             0             5.798E+019    5.798E+019    0.007908      1709          3543          1.636E+016    1.16E+019     0             0             8.124E+018    8.124E+018    0             1263          631.6         1.286E+016    0             0             0             1.661E+019    1.661E+019    -0.3417       2.3E+006      1.266E+006    1.312E+013    1.661E+018    0             0             
(54,30)	2.451E+005    44.3          -0.5864       2.35E+006     1.319E+006    0.001752      1.667E-018    2.145E+020    1.015E+021    -0.3518       1.763E+006    9.676E+005    1.049E+015    0             863.7         8.007E+020    4.11E+020     4.11E+020     0.003906      1476          1695          2.424E+017    8.221E+019    0             0             1.541E+019    1.541E+019    0.00798       1386          2649          5.816E+015    3.081E+018    0             0             6.515E+019    6.515E+019    0             1263          631.6         1.031E+017    0             0             0             6.369E+017    6.369E+017    -0.3417       2.3E+006      1.234E+006    5.162E+011    6.369E+016    0             0             
