t             dt        Er         epsilon    n0         n1         n2         n3         n4         n5         ElasLoss   R0         R1         R2         R3         R4         R5         R6         R7         V1         V2         V4         I1         Ic1         I2         Ic2         I4         Ic4         Q1         Q2         Q4         P0         
0             1E-012    47         2          1E+014     5E+013     5E+013     5E+013     1E+014     5E+013     1.84E+003  0          2.08E+013  0          2.24E+020  8.7E+012   2.03E+013  1.45E+013  2.14E+022  -300       -20        0          -1.3E-005  -1.3E-005  -1.03E-005 -1.03E-005 0          0          -2.33E-010 1.4E-010   9.11E-011  0          
1.678974E-012 1.18E-013 47         2.56       1.29E+014  4.95E+013  5E+013     5E+013     1E+014     4.86E+013  2.56E+003  2.43E+018  5.3E+013   1.61E+016  2.24E+020  8.7E+012   2.03E+013  1.44E+013  2.14E+022  -300       -20        0          -0.000117  -5.87E-006 -7.26E-005 -8.67E-006 -3.48E-005 0          -2.33E-010 1.4E-010   9.11E-011  0.00439    
3.397259E-012 2.41E-013 47         3.11       1.56E+014  4.89E+013  5.01E+013  4.99E+013  1E+014     4.76E+013  3.33E+003  6.25E+019  8.79E+013  3.43E+018  2.25E+020  8.7E+012   2.03E+013  1.42E+013  2.14E+022  -300       -20        0          -2.05E-005 -2.57E-006 -2.01E-005 -7.65E-006 -1.83E-005 0          -2.33E-010 1.4E-010   9.11E-011  0.00414    
6.839385E-012 5.13E-013 47         4.15       2.06E+014  4.8E+013   5.01E+013  4.98E+013  1E+014     4.64E+013  1.05E+004  1.48E+021  1.6E+014   1.03E+021  2.25E+020  8.7E+012   2.03E+013  1.4E+013   2.13E+022  -300       -20        0          3.44E-006  -5.21E-007 -6.85E-006 -6.61E-006 -1.39E-005 0          -2.33E-010 1.4E-010   9.11E-011  0.0039     
1.337831E-011 8.52E-013 47         6          2.91E+014  4.66E+013  5.03E+013  4.97E+013  1E+014     4.48E+013  5.68E+004  8.39E+021  2.84E+014  1.21E+022  2.25E+020  8.7E+012   2.03E+013  1.36E+013  2.11E+022  -300       -20        0          8.51E-006  -7.75E-009 -3.04E-006 -6.01E-006 -1.26E-005 0          -2.33E-010 1.4E-010   9.11E-011  0.0037     
2.561213E-011 1.83E-012 47         8.83       4.14E+014  4.5E+013   5.09E+013  4.94E+013  1E+014     4.26E+013  2.14E+005  2.96E+022  4.29E+014  5.35E+022  2.28E+020  8.74E+012  2.04E+013  1.31E+013  2.08E+022  -300       -20        0          8.69E-006  5.9E-008   -1.9E-006  -5.61E-006 -1.21E-005 0          -2.33E-010 1.4E-010   9.11E-011  0.00349    
5.321735E-011 3.89E-012 47         12.1       5.48E+014  4.36E+013  5.43E+013  4.87E+013  1.02E+014  3.87E+013  4.95E+005  5.99E+022  5.68E+014  1.37E+023  2.41E+020  8.94E+012  2.09E+013  1.29E+013  2.01E+022  -300       -20        0          7.82E-006  8.06E-008  -9.06E-007 -4.6E-006  -1.23E-005 0          -2.33E-010 1.4E-010   9.11E-011  0.00319    
1.033838E-010 6.52E-012 47         13.2       6.12E+014  4.42E+013  6.33E+013  4.76E+013  1.05E+014  3.32E+013  6.18E+005  7.5E+022   6.69E+014  1.71E+023  2.79E+020  9.53E+012  2.22E+013  1.35E+013  1.9E+022   -300       -20        0          6.83E-006  8.11E-008  1.28E-007  -3.35E-006 -1.22E-005 0          -2.33E-010 1.4E-010   9.11E-011  0.00287    
1.763443E-010 8.25E-012 47         13.1       6.08E+014  4.42E+013  7.65E+013  4.6E+013   1.11E+014  2.67E+013  5.93E+005  7.54E+022  7.42E+014  1.58E+023  3.37E+020  1.06E+013  2.47E+013  1.47E+013  1.75E+022  -300       -20        0          8.07E-006  7.71E-008  1.92E-006  -2.37E-006 -1.06E-005 0          -2.33E-010 1.4E-010   9.11E-011  0.0025     
2.801736E-010 1.33E-011 47         12.7       5.04E+014  3.85E+013  9.19E+013  4.41E+013  1.18E+014  1.93E+013  4.49E+005  6.1E+022   7.21E+014  1.14E+023  4.05E+020  1.21E+013  2.81E+013  1.46E+013  1.58E+022  -300       -20        0          5.01E-006  7.24E-008  1.49E-006  -1.61E-006 -8.88E-006 0          -2.33E-010 1.4E-010   9.11E-011  0.00187    
4.018687E-010 1.06E-011 47         12.6       3.4E+014   2.76E+013  1.03E+014  4.21E+013  1.23E+014  1.26E+013  2.63E+005  3.84E+022  5.5E+014   6.25E+022  4.6E+020   1.35E+013  3.16E+013  1.15E+013  1.4E+022   -300       -20        0          2.41E-006  6.86E-008  7.33E-007  -1.08E-006 -5.3E-006  0          -2.33E-010 1.4E-010   9.11E-011  0.00116    
5.055171E-010 1.06E-011 47         12.6       2.28E+014  1.93E+013  1.09E+014  4.05E+013  1.26E+014  8.57E+012  1.57E+005  2.41E+022  3.88E+014  3.59E+022  4.88E+020  1.44E+013  3.35E+013  8.31E+012  1.28E+022  -300       -20        0          2.51E-006  6.62E-008  1.23E-006  -7.71E-007 -3.52E-006 0          -2.33E-010 1.4E-010   9.11E-011  0.000738   
6.172318E-010 1.2E-011  47         12.7       1.47E+014  1.29E+013  1.13E+014  3.91E+013  1.28E+014  5.63E+012  9.2E+004   1.47E+022  2.57E+014  2.03E+022  5.06E+020  1.49E+013  3.48E+013  5.64E+012  1.18E+022  -300       -20        0          1.88E-006  6.42E-008  1.02E-006  -5.34E-007 -2.02E-006 0          -2.33E-010 1.4E-010   9.11E-011  0.000464   
7.456294E-010 1.38E-011 47         12.9       9.12E+013  8.18E+012  1.16E+014  3.75E+013  1.3E+014   3.48E+012  5.32E+004  8.67E+021  1.61E+014  1.15E+022  5.19E+020  1.53E+013  3.57E+013  3.59E+012  1.07E+022  -300       -20        0          1.3E-006   6.26E-008  7.32E-007  -3.48E-007 -1.24E-006 0          -2.33E-010 1.4E-010   9.11E-011  0.000295   
8.888438E-010 1.48E-011 47         13.1       5.59E+013  5.05E+012  1.18E+014  3.59E+013  1.3E+014   2.05E+012  3.22E+004  5.21E+021  9.81E+013  7.05E+021  5.29E+020  1.55E+013  3.62E+013  2.21E+012  9.76E+021  -300       -20        0          9.33E-007  6.14E-008  5.09E-007  -2.16E-007 -7.84E-007 0          -2.33E-010 1.4E-010   9.11E-011  0.000199   
1.036357E-009 1.45E-011 47         13.3       3.58E+013  3.2E+012   1.2E+014   3.45E+013  1.31E+014  1.19E+012  2.15E+004  3.37E+021  6.19E+013  4.86E+021  5.37E+020  1.57E+013  3.66E+013  1.39E+012  8.91E+021  -300       -20        0          7.16E-007  6.05E-008  3.58E-007  -1.34E-007 -5.47E-007 0          -2.33E-010 1.4E-010   9.11E-011  0.000148   
