#(i,j)	E             Er            mu_elen       vth_elen      v_elen        n_elen        epsilon       phi_e             v*n_e             mu_e             vth_e             v_e             n_e             sec.em.flux_e             EnergySrc_e             PartSrc_e             phi_He+           v*n_He+           mu_He+           vth_He+           v_He+           n_He+           sec.em.flux_He+           EnergySrc_He+           PartSrc_He+           phi_He2+          v*n_He2+          mu_He2+          vth_He2+          v_He2+          n_He2+          sec.em.flux_He2+          EnergySrc_He2+          PartSrc_He2+          phi_He*           v*n_He*           mu_He*           vth_He*           v_He*           n_He*           sec.em.flux_He*           EnergySrc_He*           PartSrc_He*           phi_e*            v*n_e*            mu_e*            vth_e*            v_e*            n_e*            sec.em.flux_e*            EnergySrc_e*            PartSrc_e*            
(16,26)	1.794E+005    6.744         -0.5441       1.848E+006    1.022E+006    3.693E-012    1.031E-018    1.309E+012    2.692E+012    -0.3264       1.386E+006    7.517E+005    3.581E+006    0             2.925E-007    1.383E+012    3.093E+010    3.093E+010    0.004031      1389          1418          2.182E+007    6.185E+009    0             0             5.648E+009    5.648E+009    0.007799      1172          1985          2.845E+006    1.13E+009     0             0             8.116E+015    8.116E+015    0             1263          631.6         1.285E+013    0             0             0             6.507E+012    6.507E+012    -0.3417       2.3E+006      1.211E+006    5.372E+006    6.507E+011    0             0             
(54,26)	1.991E+005    7.677         -0.5862       1.3E+006      7.668E+005    1.334E-012    5.102E-019    5.196E+011    1.458E+012    -0.3517       9.751E+005    5.576E+005    2.615E+006    0             1.956E-007    9.384E+011    7.917E+009    7.917E+009    0.003994      1414          1502          5.271E+006    1.583E+009    0             0             2.163E+010    2.163E+010    0.007926      1237          2196          9.848E+006    4.326E+009    0             0             8.139E+015    8.139E+015    0             1263          631.6         1.289E+013    0             0             0             4.435E+012    4.435E+012    -0.3417       2.3E+006      1.218E+006    3.641E+006    4.435E+011    0             0             
(16,27)	4.699E+005    17.67         -0.5548       1.554E+006    1.038E+006    2.495E-012    7.289E-019    6.153E+011    2.531E+012    -0.3329       1.165E+006    7.392E+005    3.424E+006    0             6.019E-007    1.915E+012    2.105E+011    2.105E+011    0.003469      1813          2537          8.296E+007    4.209E+010    0             0             7.308E+010    7.308E+010    0.007403      2087          4522          1.616E+007    1.462E+010    0             0             1.575E+016    1.575E+016    0             1263          631.6         2.494E+013    0             0             0             8.017E+012    8.017E+012    -0.3417       2.3E+006      1.311E+006    6.117E+006    8.017E+011    0             0             
(54,27)	1.383E+005    5.943         -0.5813       1.327E+006    7.438E+005    2.773E-012    5.313E-019    1.005E+012    2.849E+012    -0.3488       9.951E+005    5.458E+005    5.22E+006     0             5.258E-007    1.844E+012    3.069E+010    3.069E+010    0.004112      1342          1240          2.476E+007    6.139E+009    0             0             9.023E+010    9.023E+010    0.00748       1055          1562          5.777E+007    1.805E+010    0             0             1.58E+016     1.58E+016     0             1263          631.6         2.501E+013    0             0             0             7.939E+012    7.939E+012    -0.3417       2.3E+006      1.197E+006    6.631E+006    7.939E+011    0             0             
(16,28)	3.105E+005    11.67         -0.5562       1.528E+006    9.369E+005    4.136E-012    7.051E-019    9.445E+011    3.97E+012     -0.3337       1.146E+006    6.768E+005    5.866E+006    0             1.146E-006    3.025E+012    2.991E+011    2.991E+011    0.003766      1571          1955          1.53E+008     5.982E+010    0             0             2.086E+011    2.086E+011    0.008025      1619          3302          6.318E+007    4.172E+010    0             0             2.301E+016    2.301E+016    0             1263          631.6         3.642E+013    0             0             0             1.157E+013    1.157E+013    -0.3417       2.3E+006      1.256E+006    9.214E+006    1.157E+012    0             0             
(54,28)	1.53E+005     5.842         -0.582        1.323E+006    7.506E+005    4.113E-012    5.283E-019    1.214E+012    4.278E+012    -0.3492       9.923E+005    5.496E+005    7.785E+006    0             1.3E-006      3.064E+012    1.069E+011    1.069E+011    0.004081      1358          1304          8.201E+007    2.138E+010    0             0             3.419E+011    3.419E+011    0.007623      1094          1714          1.995E+008    6.838E+010    0             0             2.307E+016    2.307E+016    0             1263          631.6         3.653E+013    0             0             0             1.088E+013    1.088E+013    -0.3417       2.3E+006      1.202E+006    9.05E+006     1.088E+012    0             0             
(16,29)	2.388E+005    8.978         -0.5573       1.509E+006    8.878E+005    5.898E-012    6.877E-019    1.193E+012    5.539E+012    -0.3344       1.132E+006    6.459E+005    8.576E+006    0             1.992E-006    4.346E+012    4.023E+011    4.023E+011    0.003912      1467          1668          2.413E+008    8.047E+010    0             0             4.504E+011    4.504E+011    0.007977      1365          2588          1.74E+008     9.008E+010    0             0             2.97E+016     2.97E+016     0             1263          631.6         4.701E+013    0             0             0             1.471E+013    1.471E+013    -0.3417       2.3E+006      1.232E+006    1.194E+007    1.471E+012    0             0             
(54,29)	1.384E+005    5.018         -0.5712       1.379E+006    7.688E+005    7.164E-012    5.744E-019    1.601E+012    7.044E+012    -0.3427       1.035E+006    5.647E+005    1.247E+007    0             3.311E-006    5.443E+012    2.723E+011    2.723E+011    0.004112      1342          1240          2.195E+008    5.445E+010    0             0             9.583E+011    9.583E+011    0.007481      1055          1563          6.131E+008    1.917E+011    0             0             2.978E+016    2.978E+016    0             1263          631.6         4.715E+013    0             0             0             1.381E+013    1.381E+013    -0.3417       2.3E+006      1.197E+006    1.153E+007    1.381E+012    0             0             
(16,30)	1.903E+005    7.154         -0.5575       1.505E+006    8.586E+005    8.118E-012    6.837E-019    1.423E+012    7.457E+012    -0.3345       1.129E+006    6.281E+005    1.187E+007    0             3.283E-006    6.034E+012    5.136E+011    5.136E+011    0.004012      1403          1465          3.507E+008    1.027E+011    0             0             8.09E+011     8.09E+011     0.00787       1207          2101          3.851E+008    1.618E+011    0             0             3.566E+016    3.566E+016    0             1263          631.6         5.645E+013    0             0             0             1.752E+013    1.752E+013    -0.3417       2.3E+006      1.215E+006    1.442E+007    1.752E+012    0             0             
(54,30)	1.113E+005    3.984         -0.5602       1.455E+006    7.898E+005    1.41E-011     6.388E-019    2.168E+012    1.286E+013    -0.3361       1.091E+006    5.83E+005     2.206E+007    0             8.353E-006    1.07E+013     5.508E+011    5.508E+011    0.004154      1316          1121          4.915E+008    1.102E+011    0             0             2.279E+012    2.279E+012    0.007274      995.4         1308          1.742E+009    4.557E+011    0             0             3.576E+016    3.576E+016    0             1263          631.6         5.662E+013    0             0             0             1.674E+013    1.674E+013    -0.3417       2.3E+006      1.188E+006    1.409E+007    1.674E+012    0             0             
(16,31)	1.518E+005    5.708         -0.5573       1.51E+006     8.395E+005    1.093E-011    6.879E-019    1.646E+012    9.805E+012    -0.3344       1.132E+006    6.169E+005    1.589E+007    0             5.092E-006    8.159E+012    6.214E+011    6.214E+011    0.004084      1357          1298          4.786E+008    1.243E+011    0             0             1.258E+012    1.258E+012    0.007612      1091          1701          7.396E+008    2.516E+011    0             0             4.075E+016    4.075E+016    0             1263          631.6         6.451E+013    0             0             0             1.999E+013    1.999E+013    -0.3417       2.3E+006      1.202E+006    1.663E+007    1.999E+012    0             0             
(54,31)	8.581E+004    3.09          -0.5569       1.516E+006    8.058E+005    2.935E-011    6.937E-019    2.587E+012    2.526E+013    -0.3342       1.137E+006    5.972E+005    4.23E+007     0             2.049E-005    2.268E+013    9.419E+011    9.419E+011    0.004197      1296          1008          9.345E+008    1.884E+011    0             0             5.08E+012     5.08E+012     0.00715       953.2         1090          4.66E+009     1.016E+012    0             0             4.087E+016    4.087E+016    0             1263          631.6         6.47E+013     0             0             0             1.95E+013     1.95E+013     -0.3417       2.3E+006      1.179E+006    1.653E+007    1.95E+012     0             0             
(16,32)	1.215E+005    4.569         -0.5568       1.518E+006    8.267E+005    1.428E-011    6.955E-019    1.849E+012    1.252E+013    -0.3341       1.139E+006    6.099E+005    2.054E+007    0             7.387E-006    1.068E+013    7.155E+011    7.155E+011    0.004141      1326          1166          6.136E+008    1.431E+011    0             0             1.756E+012    1.756E+012    0.00734       1016          1400          1.254E+009    3.512E+011    0             0             4.484E+016    4.484E+016    0             1263          631.6         7.1E+013      0             0             0             2.198E+013    2.198E+013    -0.3417       2.3E+006      1.192E+006    1.845E+007    2.198E+012    0             0             
